subset,metric,predicted,actual,n,prevalence,source,model,mean_dist
dist_bin7,aucroc,0.5612483311287235,0.5138425664217072,1510,0.19205298013245034,seen_test,blosum_rf,0.34648584629061263
dist_bin0,aucroc,0.5141111617426337,0.35875484483232667,2051,0.20136518771331058,unseen_fold34,blosum_rf,-1.8706143473337216
dist_bin1,aucroc,0.5324718340544806,0.6528350515463918,2051,0.14188200877620674,unseen_fold34,blosum_rf,0.08991602149537467
dist_bin2,aucroc,0.514214514047501,0.5383373375700742,2051,0.17942467089224767,unseen_fold34,blosum_rf,0.6970866705525249
dist_bin3,aucroc,0.5109316493689398,0.5038821199099229,2051,0.24329595319356412,unseen_fold34,blosum_rf,0.7947092461828106
dist_bin4,aucroc,0.5093584046815023,0.4886399052546282,2051,0.25646026328620186,unseen_fold34,blosum_rf,0.8565861451972439
dist_bin5,aucroc,0.5142111674679738,0.4605310543148163,2051,0.2296440760604583,unseen_fold34,blosum_rf,0.9277610331342326
dist_bin6,aucroc,0.5066341476303149,0.4536192332123282,2051,0.2091662603607996,unseen_fold34,blosum_rf,1.0169195830512545
dist_bin7,aucroc,0.5033029544168935,0.43346515984285744,2055,0.18929440389294405,unseen_fold34,blosum_rf,1.1230369400600742
dist_bin0,aucroc,0.7509226478678623,0.7931768096287507,864,0.19675925925925927,v3_combined,blosum_rf,-3.1046088872767985
dist_bin1,aucroc,0.6740090672972733,0.6475610441090328,864,0.21180555555555555,v3_combined,blosum_rf,-2.913530172786286
dist_bin2,aucroc,0.5543554566318066,0.5244867070874513,864,0.18171296296296297,v3_combined,blosum_rf,-1.2663638940229935
dist_bin3,aucroc,0.5577925090316009,0.5843152555598907,864,0.1909722222222222,v3_combined,blosum_rf,0.007665399936073485
dist_bin4,aucroc,0.5520736998287192,0.6547208113808165,864,0.21643518518518517,v3_combined,blosum_rf,0.4877056425323295
dist_bin5,aucroc,0.5444997244726626,0.513003516624041,864,0.21296296296296297,v3_combined,blosum_rf,0.7309640490825976
dist_bin6,aucroc,0.5429304439137316,0.4697993128221147,864,0.2199074074074074,v3_combined,blosum_rf,0.8817718775586291
dist_bin7,aucroc,0.5356254189782225,0.46271829972239764,867,0.23760092272202998,v3_combined,blosum_rf,1.0497412750942419
dist_bin0,aucroc,0.8969793566681494,0.8757598206823191,1633,0.19657072872014697,v4_combined,blosum_rf,-3.1616103860353872
dist_bin1,aucroc,0.720488739749696,0.7062291225593978,1633,0.19902020820575628,v4_combined,blosum_rf,-2.9928743722986337
dist_bin2,aucroc,0.6832234549671893,0.661059443756062,1633,0.20269442743417024,v4_combined,blosum_rf,-2.9269073663076637
dist_bin3,aucroc,0.5782031015010186,0.5861355499431045,1633,0.16105327617881202,v4_combined,blosum_rf,-1.293226194285986
dist_bin4,aucroc,0.5383483764846457,0.6024945375091042,1633,0.15921616656460502,v4_combined,blosum_rf,0.4892523057241068
dist_bin5,aucroc,0.5314789870396263,0.5300083973544865,1633,0.31598285364360074,v4_combined,blosum_rf,0.8170232797947231
dist_bin6,aucroc,0.5266667215113449,0.45740251968628765,1633,0.2535211267605634,v4_combined,blosum_rf,0.9694670157198838
dist_bin7,aucroc,0.5199410810472446,0.44643301019139936,1638,0.1813186813186813,v4_combined,blosum_rf,1.112491846341989
dist_bin0,aucroc,0.8157649997212624,0.8841720874642423,1715,0.2956268221574344,mcpas,blosum_rf,-1.549294659845297
dist_bin1,aucroc,0.5339929192441958,0.6599034931080836,1715,0.11486880466472303,mcpas,blosum_rf,0.5313886915316939
dist_bin2,aucroc,0.5247355798721475,0.603329341940858,1715,0.08571428571428572,mcpas,blosum_rf,0.7045830520923517
dist_bin3,aucroc,0.521983819817869,0.5650917901407139,1715,0.10612244897959183,mcpas,blosum_rf,0.7861777327456874
dist_bin4,aucroc,0.5231355069191383,0.5208261253988391,1715,0.1206997084548105,mcpas,blosum_rf,0.8468178766985124
dist_bin5,aucroc,0.5149142310872266,0.4956953658453729,1715,0.16851311953352768,mcpas,blosum_rf,0.904520640813519
dist_bin6,aucroc,0.5172798008171656,0.5139701707880325,1715,0.1988338192419825,mcpas,blosum_rf,0.9724805214479987
dist_bin7,aucroc,0.5217648741504999,0.4967088649654439,1718,0.11525029103608847,mcpas,blosum_rf,1.1434852003155476
dist_bin0,aucroc,0.6448044107929829,0.5820617796429766,1195,0.24351464435146444,iedb_sars,blosum_rf,-2.8494198363494925
dist_bin1,aucroc,0.5135678459971014,0.3715375351264553,1195,0.15732217573221757,iedb_sars,blosum_rf,-1.8751265174296372
dist_bin2,aucroc,0.5087433251921342,0.38999684069188845,1195,0.03682008368200837,iedb_sars,blosum_rf,-1.7392045453890952
dist_bin3,aucroc,0.5127130587732783,0.50449042271674,1195,0.11548117154811716,iedb_sars,blosum_rf,-1.3275332651908547
dist_bin4,aucroc,0.5342623978392407,0.5498400955573536,1195,0.17656903765690377,iedb_sars,blosum_rf,-0.42053277465555666
dist_bin5,aucroc,0.5210800490964458,0.4857776944236059,1195,0.14393305439330545,iedb_sars,blosum_rf,-0.34396287762127137
dist_bin6,aucroc,0.5225838806923497,0.5167332430602574,1195,0.11715481171548117,iedb_sars,blosum_rf,-0.17260167929790748
dist_bin7,aucroc,0.5090806969398923,0.4767978605895006,1197,0.13951545530492898,iedb_sars,blosum_rf,0.9329412629780557
dist_bin0,aucroc,0.678295474517301,0.7945062016307353,1504,0.2872340425531915,seen_test,ergo_ii,-3.262627235475151
dist_bin1,aucroc,0.6687874679571456,0.6275746376608711,1504,0.25398936170212766,seen_test,ergo_ii,-3.0556155824057636
dist_bin2,aucroc,0.6191099581703233,0.587390252738354,1504,0.21010638297872342,seen_test,ergo_ii,-3.007355574123783
dist_bin3,aucroc,0.6008675418021449,0.5894810267141608,1504,0.2214095744680851,seen_test,ergo_ii,-2.976203218894754
dist_bin4,aucroc,0.6021463906473472,0.5902675483103648,1504,0.20345744680851063,seen_test,ergo_ii,-2.9440069065932954
dist_bin5,aucroc,0.6050383918048328,0.5749136898471078,1504,0.22739361702127658,seen_test,ergo_ii,-2.8854112665761065
dist_bin6,aucroc,0.5382292210140391,0.5201095984245226,1504,0.15226063829787234,seen_test,ergo_ii,-1.054723026038532
dist_bin7,aucroc,0.5476110273462457,0.4965828151498022,1510,0.19205298013245034,seen_test,ergo_ii,0.34648584629061263
